                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78753,                 1.0916,                 1.1823,                0.52504,                0.50429,                0.56069,                0.38453,                 1.3131,                 2.4117,                 1.6505,             0.00087538,             0.00087538,             0.00087538
                     36,                0.86656,                 1.1438,                 1.2272,                0.47249,                0.49938,                0.49458,                0.33223,                  1.452,                 2.7223,                 1.8427,              0.0008974,              0.0008974,              0.0008974
                     37,                 0.7955,                  1.131,                 1.1833,                0.48784,                  0.375,                0.43202,                0.28423,                 1.5452,                 3.0166,                 1.9504,             0.00091924,             0.00091924,             0.00091924
                     38,                0.80724,                 1.0864,                  1.211,                0.62322,                0.41667,                0.47073,                0.30141,                 1.4242,                 2.9331,                 1.7994,             0.00094089,             0.00094089,             0.00094089
                     39,                 0.7456,                 1.0818,                 1.1585,                0.67566,                0.39143,                  0.604,                0.42858,                  1.342,                 2.6945,                 1.7143,             0.00096235,             0.00096235,             0.00096235
                     40,                0.83623,                 1.1101,                 1.2161,                 0.8036,                0.24341,                0.55411,                0.40256,                 1.2235,                  2.651,                 1.6347,             0.00098362,             0.00098362,             0.00098362
                     41,                0.74762,                 1.1046,                 1.1607,                0.64477,                0.33333,                0.53525,                0.38919,                 1.2524,                 2.6096,                 1.6355,              0.0010047,              0.0010047,              0.0010047
                     42,                0.85581,                 1.1698,                 1.2629,                0.59157,                0.33333,                0.57217,                0.33083,                  1.363,                 2.6438,                 1.7174,              0.0010256,              0.0010256,              0.0010256
                     43,                0.80097,                 1.0416,                 1.2222,                0.84039,                  0.375,                0.55106,                0.34863,                 1.4386,                 2.6574,                 1.7725,              0.0010463,              0.0010463,              0.0010463
                     44,                0.88872,                 1.1478,                 1.2501,                      1,                0.30563,                0.61894,                0.37289,                  1.332,                 2.7624,                  1.746,              0.0010668,              0.0010668,              0.0010668
                     45,                0.79091,                 1.0557,                 1.1784,                0.71979,                0.43738,                0.66024,                 0.4042,                 1.3659,                 2.4615,                 1.6033,              0.0010871,              0.0010871,              0.0010871
                     46,                0.80996,                 1.0618,                 1.1716,                0.80032,                0.48921,                0.78572,                0.56198,                 1.1784,                 2.1825,                 1.4378,              0.0011073,              0.0011073,              0.0011073
                     47,                0.80529,                 1.0789,                 1.2244,                0.76072,                0.53903,                 0.8265,                0.51414,                 1.3226,                 2.1354,                  1.603,              0.0011272,              0.0011272,              0.0011272
                     48,                 0.8804,                 1.1119,                 1.2615,                0.57422,                0.61853,                0.74353,                 0.4356,                 1.4057,                 2.2051,                 1.7094,               0.001147,               0.001147,               0.001147
                     49,                0.74072,                0.98043,                  1.186,                0.72069,                0.51096,                0.64892,                0.45322,                 1.3427,                 2.3929,                 1.6347,              0.0011666,              0.0011666,              0.0011666
                     50,                0.81252,                 1.0895,                 1.2066,                0.73449,                0.46422,                0.58012,                0.40721,                 1.2688,                 2.5063,                  1.593,               0.001186,               0.001186,               0.001186
                     51,                 0.7691,                0.98124,                 1.1513,                0.95436,                   0.25,                 0.4989,                0.37351,                 1.2077,                  2.654,                 1.5404,              0.0011932,              0.0011932,              0.0011932
                     52,                0.76742,                 0.9548,                 1.1645,                0.69908,                0.49997,                0.66336,                0.47554,                 1.1159,                 2.3793,                 1.4501,              0.0011932,              0.0011932,              0.0011932
                     53,                0.78581,                 1.0254,                 1.1644,                0.57188,                0.71296,                0.77123,                0.57133,                  1.208,                   1.92,                 1.4976,              0.0011885,              0.0011885,              0.0011885
                     54,                0.74562,                0.92212,                  1.156,                0.77694,                0.71646,                0.91491,                0.69161,                0.96159,                 1.5557,                 1.3638,              0.0011838,              0.0011838,              0.0011838
                     55,                0.83358,                 1.0316,                 1.2128,                0.88654,                0.74479,                 0.8929,                0.70632,                0.83471,                 1.2713,                 1.1986,              0.0011791,              0.0011791,              0.0011791
                     56,                  0.816,                0.98191,                 1.2422,                0.82572,                0.81019,                0.91536,                0.69071,                0.85877,                 1.1294,                 1.2408,              0.0011744,              0.0011744,              0.0011744
                     57,                  0.807,                0.95952,                 1.1843,                0.75713,                0.82412,                0.90092,                0.73394,                0.82329,                 1.0573,                 1.2592,              0.0011696,              0.0011696,              0.0011696
                     58,                0.75165,                0.96206,                 1.1755,                0.83757,                0.84652,                0.93122,                0.72899,                0.81366,                 1.0129,                 1.2178,              0.0011649,              0.0011649,              0.0011649
                     59,                0.70481,                0.90741,                 1.1062,                 0.8645,                 0.9571,                0.95441,                 0.7585,                0.74656,                 1.0019,                 1.1327,              0.0011602,              0.0011602,              0.0011602
                     60,                 0.7163,                0.86244,                  1.105,                0.87777,                0.91215,                0.95477,                0.80499,                0.74714,                0.99773,                 1.1428,              0.0011555,              0.0011555,              0.0011555
                     61,                0.77722,                0.98793,                  1.165,                 0.7978,                0.91667,                0.93244,                0.80052,                0.76049,                 1.0633,                 1.1062,              0.0011508,              0.0011508,              0.0011508
                     62,                0.70349,                0.87912,                 1.1305,                0.67406,                      1,                0.89063,                 0.7453,                0.82108,                 1.0209,                 1.1394,              0.0011461,              0.0011461,              0.0011461
                     63,                0.80211,                0.95791,                 1.1874,                0.87434,                0.94345,                0.93608,                0.78359,                0.81375,                0.96949,                  1.175,              0.0011413,              0.0011413,              0.0011413
                     64,                0.74161,                0.90094,                 1.1412,                0.81697,                0.93949,                  0.949,                0.77005,                0.78017,                0.91694,                 1.1854,              0.0011366,              0.0011366,              0.0011366
                     65,                0.70241,                0.85529,                 1.1379,                0.84601,                0.94762,                0.95944,                0.78938,                0.76698,                0.89834,                 1.1735,              0.0011319,              0.0011319,              0.0011319
                     66,                0.75599,                0.86876,                 1.1937,                0.86513,                0.87963,                0.95944,                0.80802,                 0.7424,                0.86401,                 1.1515,              0.0011272,              0.0011272,              0.0011272
                     67,                 0.8119,                0.94902,                 1.1921,                0.92361,                0.92623,                0.98833,                0.82888,                0.76773,                0.88912,                 1.1768,              0.0011225,              0.0011225,              0.0011225
                     68,                0.72377,                0.89166,                 1.1646,                0.95023,                0.80559,                  0.935,                0.71071,                0.80533,                 1.1691,                 1.1664,              0.0011178,              0.0011178,              0.0011178
                     69,                0.75929,                0.86112,                 1.1388,                0.86518,                0.65174,                0.79204,                0.62642,                0.82142,                 1.4445,                 1.1944,               0.001113,               0.001113,               0.001113
                     70,                0.79648,                0.95595,                 1.1887,                0.85795,                0.73417,                0.80303,                0.66283,                0.78337,                  1.293,                 1.1594,              0.0011083,              0.0011083,              0.0011083
                     71,                0.74886,                0.87677,                 1.1647,                0.69435,                0.83105,                0.85296,                0.71945,                0.71795,                 1.1328,                 1.1138,              0.0011036,              0.0011036,              0.0011036
                     72,                0.77302,                0.91656,                 1.1782,                0.95812,                0.65743,                0.87278,                0.75343,                0.69656,                 1.0597,                 1.1492,              0.0010989,              0.0010989,              0.0010989
                     73,                0.72881,                0.93078,                 1.1785,                0.98016,                  0.625,                0.94194,                0.79863,                0.66731,                 1.0126,                 1.1367,              0.0010942,              0.0010942,              0.0010942
                     74,                0.70809,                0.84882,                  1.112,                0.77558,                0.79736,                0.97382,                  0.788,                0.71202,                0.95539,                 1.1498,              0.0010895,              0.0010895,              0.0010895
                     75,                0.70089,                0.81804,                 1.1115,                0.78353,                0.81434,                0.90533,                0.72961,                 0.8268,                 1.0915,                 1.2201,              0.0010848,              0.0010848,              0.0010848
                     76,                0.73241,                0.84721,                 1.1444,                0.79197,                0.73543,                0.86286,                0.69672,                0.90128,                  1.228,                 1.2735,                0.00108,                0.00108,                0.00108
                     77,                0.77399,                0.88346,                 1.1393,                0.75593,                 0.7249,                 0.8123,                0.63622,                0.86051,                 1.4086,                 1.2145,              0.0010753,              0.0010753,              0.0010753
                     78,                0.68089,                0.87212,                 1.0978,                0.82907,                0.47016,                0.70572,                0.51047,                0.96074,                 1.7147,                 1.3161,              0.0010706,              0.0010706,              0.0010706
                     79,                0.61204,                0.77597,                 1.0615,                0.88469,                0.41667,                0.70474,                0.52849,                0.97772,                 1.8434,                 1.3224,              0.0010659,              0.0010659,              0.0010659
                     80,                  0.772,                0.77967,                 1.1473,                0.92682,                0.45833,                0.71891,                0.56159,                 1.0014,                 1.7207,                 1.3523,              0.0010612,              0.0010612,              0.0010612
                     81,                0.66349,                0.80425,                 1.1407,                 0.7564,                 0.6419,                0.84943,                0.66688,                0.93621,                 1.4744,                 1.3396,              0.0010565,              0.0010565,              0.0010565
                     82,                0.66913,                0.72465,                 1.1194,                0.91523,                 0.6304,                 0.9052,                0.72423,                0.85027,                  1.275,                 1.2607,              0.0010517,              0.0010517,              0.0010517
                     83,                0.77008,                0.88051,                 1.1795,                0.65486,                0.71659,                0.85265,                 0.7196,                0.79508,                 1.1455,                  1.227,               0.001047,               0.001047,               0.001047
                     84,                0.74866,                0.89927,                 1.1756,                0.90601,                0.64961,                0.85596,                0.69692,                0.82708,                 1.1458,                 1.2377,              0.0010423,              0.0010423,              0.0010423
                     85,                0.65968,                0.79412,                 1.1243,                0.93927,                0.77132,                0.97833,                0.75397,                0.75836,                 1.1056,                 1.1712,              0.0010376,              0.0010376,              0.0010376
                     86,                0.81086,                0.84485,                 1.1745,                0.88058,                 0.7941,                0.95989,                0.80372,                0.72063,                 1.0741,                 1.1159,              0.0010329,              0.0010329,              0.0010329
                     87,                0.67672,                0.71392,                 1.0926,                0.90455,                0.82149,                  0.967,                0.79957,                0.68986,                0.98631,                 1.0618,              0.0010282,              0.0010282,              0.0010282
                     88,                0.63099,                0.74454,                 1.0786,                 0.9623,                0.84394,                0.96332,                0.81826,                0.69282,                 0.9717,                 1.0589,              0.0010234,              0.0010234,              0.0010234
                     89,                0.64595,                0.71996,                 1.0706,                0.98434,                0.91532,                0.99133,                0.85033,                0.63039,                0.76617,                 1.0398,              0.0010187,              0.0010187,              0.0010187
                     90,                 0.6877,                0.71894,                 1.1134,                0.97791,                0.99164,                  0.995,                0.87037,                  0.604,                0.66896,                 1.0367,               0.001014,               0.001014,               0.001014
                     91,                0.68815,                0.74999,                 1.1111,                0.98515,                0.99157,                  0.995,                0.88295,                0.59872,                0.65422,                  1.028,              0.0010093,              0.0010093,              0.0010093
                     92,                0.63626,                0.73728,                 1.0921,                0.98518,                      1,                  0.995,                0.88952,                0.58222,                 0.6093,                 1.0349,              0.0010046,              0.0010046,              0.0010046
                     93,                0.70523,                0.76687,                 1.1469,                0.97398,                0.98446,                  0.995,                0.88729,                0.56879,                 0.6033,                 1.0267,             0.00099987,             0.00099987,             0.00099987
                     94,                0.65414,                  0.764,                 1.1208,                0.93373,                0.96858,                  0.995,                0.88732,                0.54408,                0.69183,                 1.0135,             0.00099516,             0.00099516,             0.00099516
                     95,                0.68225,                0.77968,                 1.0933,                0.83594,                0.98018,                  0.995,                0.88366,                0.54103,                0.81182,                 1.0187,             0.00099044,             0.00099044,             0.00099044
                     96,                0.72527,                 0.7829,                 1.1226,                0.87324,                0.91396,                0.98767,                0.83623,                0.59967,                0.84363,                 1.0383,             0.00098572,             0.00098572,             0.00098572
                     97,                0.65675,                0.74703,                 1.0975,                0.92141,                0.95737,                  0.995,                0.82551,                0.63637,                 0.8515,                 1.0525,             0.00098101,             0.00098101,             0.00098101
                     98,                0.66489,                 0.7019,                 1.0786,                0.96253,                0.94313,                0.98833,                0.83703,                0.58473,                0.76719,                 1.0359,             0.00097629,             0.00097629,             0.00097629
                     99,                0.61328,                0.70747,                 1.0503,                0.96736,                0.97951,                  0.995,                0.89001,                0.58408,                0.71602,                 1.0314,             0.00097158,             0.00097158,             0.00097158
                    100,                0.65264,                0.74583,                 1.0787,                 0.9671,                0.99023,                  0.995,                0.84007,                0.58375,                0.68843,                 1.0187,             0.00096686,             0.00096686,             0.00096686
                    101,                0.68751,                0.71672,                  1.124,                 0.9648,                0.96708,                  0.995,                0.84255,                0.62428,                0.70289,                 1.0275,             0.00096215,             0.00096215,             0.00096215
                    102,                0.66639,                0.80919,                 1.1505,                0.97144,                0.98306,                  0.995,                0.85188,                0.65306,                0.67474,                  1.033,             0.00095743,             0.00095743,             0.00095743
                    103,                0.68481,                0.70066,                 1.0913,                0.95808,                0.95833,                0.99056,                0.82752,                0.67622,                0.65838,                 1.0514,             0.00095271,             0.00095271,             0.00095271
                    104,                 0.5974,                0.66377,                 1.0629,                0.93268,                0.97432,                  0.995,                0.85077,                0.65445,                0.66232,                 1.0488,               0.000948,               0.000948,               0.000948
                    105,                0.62524,                0.70342,                 1.0728,                0.97193,                0.92704,                  0.995,                0.86379,                0.67606,                0.68144,                 1.0643,             0.00094328,             0.00094328,             0.00094328
                    106,                  0.525,                0.62348,                 1.0405,                0.98343,                0.95409,                  0.995,                0.86683,                0.64313,                0.64352,                  1.058,             0.00093857,             0.00093857,             0.00093857
                    107,                0.65346,                0.71758,                 1.0687,                0.95441,                0.93585,                0.99133,                0.88019,                0.64601,                0.62736,                 1.0791,             0.00093385,             0.00093385,             0.00093385
                    108,                 0.6283,                0.67608,                 1.0723,                0.97262,                0.96944,                  0.995,                0.86551,                0.67826,                0.66072,                 1.1184,             0.00092914,             0.00092914,             0.00092914
                    109,                0.59158,                0.69056,                 1.0451,                0.99224,                0.95734,                  0.995,                0.84295,                0.72032,                 0.6751,                  1.159,             0.00092442,             0.00092442,             0.00092442
                    110,                   0.61,                0.73163,                 1.0924,                0.98055,                0.94335,                0.99056,                0.84132,                 0.6683,                0.60602,                 1.0923,              0.0009197,              0.0009197,              0.0009197
                    111,                0.59713,                0.61133,                 1.0365,                0.97188,                0.94873,                  0.995,                0.86421,                0.65706,                0.57343,                 1.0557,             0.00091499,             0.00091499,             0.00091499
                    112,                0.55556,                0.65113,                 1.0202,                0.97492,                0.96488,                  0.995,                0.86158,                0.61365,                0.54044,                 1.0151,             0.00091027,             0.00091027,             0.00091027
                    113,                0.56712,                0.64741,                 1.0694,                0.98367,                      1,                  0.995,                0.88207,                0.57585,                 0.4979,                0.99646,             0.00090556,             0.00090556,             0.00090556
                    114,                0.56816,                0.61676,                 1.0311,                0.98954,                      1,                  0.995,                0.88082,                0.57554,                0.45563,                 1.0102,             0.00090084,             0.00090084,             0.00090084
                    115,                0.54966,                0.62576,                 1.0317,                0.98618,                      1,                  0.995,                 0.8854,                0.62056,                0.47992,                 1.0486,             0.00089613,             0.00089613,             0.00089613
                    116,                0.66144,                0.69016,                  1.084,                0.97856,                      1,                  0.995,                0.88104,                0.64293,                  0.514,                 1.0643,             0.00089141,             0.00089141,             0.00089141
                    117,                0.54205,                0.57505,                 1.0183,                0.97059,                      1,                  0.995,                0.88287,                0.61174,                0.49576,                  1.031,             0.00088669,             0.00088669,             0.00088669
                    118,                 0.5749,                0.58475,                  1.012,                0.95353,                      1,                  0.995,                 0.8424,                0.62617,                0.50141,                 1.0274,             0.00088198,             0.00088198,             0.00088198
                    119,                0.65467,                0.65778,                 1.0619,                 0.9562,                0.99146,                  0.995,                0.88488,                0.58635,                0.51029,                 1.0055,             0.00087726,             0.00087726,             0.00087726
                    120,                0.59382,                0.66035,                 1.0413,                0.95864,                0.98389,                  0.995,                0.88807,                0.56434,                0.48571,                0.99413,             0.00087255,             0.00087255,             0.00087255
                    121,                0.66941,                0.65424,                 1.0953,                0.95615,                 0.9928,                  0.995,                0.88446,                0.56489,                0.50839,                 0.9858,             0.00086783,             0.00086783,             0.00086783
                    122,                0.57076,                0.58879,                 1.0238,                0.96715,                      1,                  0.995,                0.87097,                0.54834,                0.50219,                0.96965,             0.00086312,             0.00086312,             0.00086312
                    123,                0.58601,                0.63859,                 1.0524,                0.96584,                      1,                  0.995,                0.89675,                0.53236,                0.47093,                0.96664,              0.0008584,              0.0008584,              0.0008584
                    124,                0.58797,                0.60523,                 1.0264,                 0.9663,                      1,                  0.995,                0.88316,                0.52542,                0.46908,                0.96606,             0.00085368,             0.00085368,             0.00085368
                    125,                0.64467,                 0.6451,                 1.0695,                0.98517,                      1,                  0.995,                0.89728,                0.54954,                 0.4724,                0.98202,             0.00084897,             0.00084897,             0.00084897
                    126,                0.61284,                0.62806,                 1.0451,                0.96815,                0.99392,                  0.995,                0.89495,                 0.5344,                0.49228,                0.97462,             0.00084425,             0.00084425,             0.00084425
                    127,                0.57035,                0.59039,                 1.0233,                0.96909,                0.97157,                  0.995,                0.89009,                0.51011,                0.51767,                0.96187,             0.00083954,             0.00083954,             0.00083954
