                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77671,                0.96533,                 1.1385,                0.42149,                0.63769,                0.50896,                0.32173,                 1.4103,                 2.2561,                 1.8362,              0.0011956,              0.0011956,              0.0011956
                     36,                 0.7907,                0.99694,                 1.1761,                0.43247,                0.56019,                0.56979,                0.33487,                 1.4625,                 2.1903,                 1.8748,              0.0011885,              0.0011885,              0.0011885
                     37,                0.75248,                0.95973,                 1.1407,                0.60054,                0.69964,                0.72977,                0.50369,                 1.3551,                 1.7107,                 1.8148,              0.0011814,              0.0011814,              0.0011814
                     38,                0.71482,                0.95084,                 1.1169,                0.82063,                0.70423,                0.81442,                0.59588,                  1.249,                 1.5849,                 1.7523,              0.0011744,              0.0011744,              0.0011744
                     39,                0.76077,                0.94361,                 1.1424,                0.77447,                0.82726,                0.89661,                 0.6396,                 1.1013,                 1.3274,                 1.6082,              0.0011673,              0.0011673,              0.0011673
                     40,                0.71956,                0.92051,                 1.1072,                0.86072,                0.79265,                0.87153,                0.63263,                 1.1673,                 1.2568,                 1.6283,              0.0011602,              0.0011602,              0.0011602
                     41,                0.82212,                0.96964,                 1.1732,                0.76306,                0.86522,                0.84696,                0.61022,                 1.1464,                 1.4045,                 1.5496,              0.0011531,              0.0011531,              0.0011531
                     42,                0.76611,                0.96338,                  1.146,                0.83413,                0.72685,                0.87143,                0.60362,                 1.1316,                  1.418,                 1.5854,              0.0011461,              0.0011461,              0.0011461
                     43,                0.77886,                0.94041,                 1.1646,                0.78938,                0.69819,                0.87256,                 0.6114,                 1.1195,                 1.4469,                 1.6283,               0.001139,               0.001139,               0.001139
                     44,                0.73182,                0.89715,                 1.1071,                0.84118,                 0.9007,                0.95353,                 0.6092,                  1.118,                 1.3338,                 1.5428,              0.0011319,              0.0011319,              0.0011319
                     45,                0.75417,                 0.9133,                 1.1397,                0.83034,                0.81947,                0.93775,                0.65042,                 1.1096,                 1.3544,                 1.5541,              0.0011248,              0.0011248,              0.0011248
                     46,                0.69632,                0.82534,                 1.1124,                0.92177,                0.79075,                0.94575,                0.64042,                  1.115,                 1.2669,                 1.5835,              0.0011178,              0.0011178,              0.0011178
                     47,                0.67555,                 0.8395,                 1.1071,                0.90246,                0.82467,                0.92145,                0.62332,                 1.1022,                 1.2294,                 1.5911,              0.0011107,              0.0011107,              0.0011107
                     48,                 0.7077,                0.86785,                 1.1114,                0.83991,                0.88426,                0.92618,                0.64956,                 1.0727,                 1.1939,                 1.5448,              0.0011036,              0.0011036,              0.0011036
                     49,                0.72705,                0.89663,                 1.1158,                0.85531,                 0.8115,                0.86121,                0.66892,                0.95946,                 1.1379,                 1.4259,              0.0010965,              0.0010965,              0.0010965
                     50,                0.69631,                0.81822,                  1.087,                0.72791,                0.87963,                0.80396,                0.61851,                  1.071,                 1.1953,                  1.505,              0.0010895,              0.0010895,              0.0010895
                     51,                0.75993,                0.86837,                 1.1542,                0.77318,                0.90884,                0.81844,                0.56306,                 1.0889,                 1.1751,                  1.497,              0.0010824,              0.0010824,              0.0010824
                     52,                 0.6703,                0.82476,                 1.1011,                0.81133,                0.82247,                0.88413,                0.62935,                 1.1634,                 1.1367,                  1.499,              0.0010753,              0.0010753,              0.0010753
                     53,                0.66755,                0.79447,                 1.1102,                0.78168,                0.86835,                0.92918,                0.66254,                 1.0521,                 1.1226,                 1.3426,              0.0010682,              0.0010682,              0.0010682
                     54,                0.69226,                0.79072,                 1.0959,                0.80092,                0.84722,                0.90666,                0.66201,                0.98021,                 1.1215,                 1.3239,              0.0010612,              0.0010612,              0.0010612
                     55,                0.67276,                0.79827,                 1.1112,                0.90555,                0.80927,                 0.9399,                0.66903,                 0.9958,                 1.1109,                  1.359,              0.0010541,              0.0010541,              0.0010541
                     56,                0.67653,                0.77899,                 1.1058,                0.84314,                 0.7571,                0.87828,                0.62347,                 0.9852,                 1.1743,                 1.3513,               0.001047,               0.001047,               0.001047
                     57,                0.63605,                0.77321,                 1.0756,                0.83017,                0.72834,                0.88344,                0.61579,                 1.1105,                 1.3274,                 1.4536,                0.00104,                0.00104,                0.00104
                     58,                0.68714,                0.80862,                 1.0734,                0.71066,                0.82535,                0.91601,                0.61298,                 1.1813,                 1.2966,                 1.4785,              0.0010329,              0.0010329,              0.0010329
                     59,                0.65588,                0.76183,                 1.0802,                 0.8519,                0.69627,                0.95878,                 0.6508,                 1.1008,                 1.1565,                 1.4436,              0.0010258,              0.0010258,              0.0010258
                     60,                0.61832,                0.72709,                  1.031,                0.86169,                0.71848,                0.90656,                0.62716,                 1.0509,                 1.1454,                 1.4103,              0.0010187,              0.0010187,              0.0010187
                     61,                0.60174,                0.72881,                 1.0565,                0.86984,                0.70222,                0.86838,                0.61436,                 1.0771,                 1.1343,                 1.4296,              0.0010117,              0.0010117,              0.0010117
