                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2368,                 3.2395,                 1.6362,                0.00812,                0.80093,                0.13727,                0.07164,                0.96258,                 3.2051,                 1.4701,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 1.1707,                 3.1457,                 1.6356,                0.00772,                0.75926,                0.14465,                0.06806,                0.97621,                 3.2121,                 1.4925,             4.2764e-05,             4.2764e-05,             4.2764e-05
                      3,                 1.1291,                 3.2078,                 1.6087,                0.00774,                0.75926,                0.12888,                0.06448,                 0.9833,                 3.2239,                 1.4938,             7.1096e-05,             7.1096e-05,             7.1096e-05
                      4,                 1.2481,                 3.2126,                  1.653,                 0.0078,                0.75926,                0.27911,                0.13222,                0.99296,                 3.2064,                 1.4787,             9.9287e-05,             9.9287e-05,             9.9287e-05
                      5,                 1.0904,                 3.0813,                 1.5367,                0.00771,                0.76389,                0.45789,                0.30592,                0.85433,                 3.1487,                 1.2797,             0.00012734,             0.00012734,             0.00012734
                      6,                  1.001,                 2.8249,                 1.3832,                0.00819,                0.84722,                0.45937,                0.35316,                0.93113,                 3.0598,                 1.2466,             0.00015524,             0.00015524,             0.00015524
                      7,                  1.037,                 2.5901,                 1.4391,                0.00873,                0.88426,                0.41956,                0.32538,                 1.0043,                 2.9873,                 1.3098,             0.00018301,             0.00018301,             0.00018301
                      8,                 1.0138,                 2.2916,                 1.4176,                0.00872,                0.88426,                0.56939,                0.42138,                 1.0201,                 2.8662,                 1.3379,             0.00021064,             0.00021064,             0.00021064
                      9,                 1.1575,                 2.2169,                 1.5065,                0.42612,                0.35185,                0.52621,                0.36422,                0.90922,                 2.7088,                 1.2427,             0.00023812,             0.00023812,             0.00023812
                     10,                 1.1372,                 2.1595,                 1.4825,                0.37193,                0.76852,                 0.5931,                0.41846,                 0.9725,                 2.6838,                 1.2871,             0.00026546,             0.00026546,             0.00026546
                     11,                 1.0471,                 1.9044,                 1.4029,                0.00934,                0.88426,                0.60978,                0.33897,                 1.0508,                 2.8129,                 1.3428,             0.00029266,             0.00029266,             0.00029266
                     12,                 1.0541,                 1.8569,                 1.4023,                0.01103,                0.96296,                0.57236,                0.38926,                0.91503,                 2.8386,                 1.2699,             0.00031972,             0.00031972,             0.00031972
                     13,                0.97134,                 1.6534,                 1.3576,                0.01156,                      1,                0.69261,                0.47675,                0.91448,                 2.7798,                 1.2516,             0.00034664,             0.00034664,             0.00034664
